Unique Item Name;
GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;
GT SRC - Snap Frame (H) - 40x80 cm - Photopaper - MLA16 35K;
GT Stand Alone - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - MLA16 35K;
GT Stand Alone - Tin Plate (H) - 100x200 cm - Sticker Blockout - MLA16 35K;
GT Stand Alone - TTD Big (H) - 25.5x72.5 cm - Art Carton - MLA16 35K;
GT Stand Alone - TTD Medium (H) - 20x58 cm - Art Carton - MLA16 35K;
GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;
WS Mitra Sampoerna - Info Board (H) - 44.5x46.5 cm - Photopaper - MLA16 35K;
GT SRC - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - MLA16 35K;
GT SRC - Backwall Topline (H) - 40x120 cm - Duratrans - MLA16 35K;
GT SRC - New Backwall SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;
GT SRC - New Cigarette Cabinet SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;
GT SRC - Cigarette Cabinet Gen 1 (H) - 25.5x72.5 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Header Backwall (H) - 44.5x46.5 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Header Backwall (H) - 44.5x96.5 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Info Board (H) - 44.5x71.5 cm - Photopaper - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 0.5x1 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 0.7x2 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 0.7x3 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 0.7x4 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 1x2 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 1x3 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sunscreen Without Velcro - 1x4 m - Vinyl FF Frontlight 10 Oz - MLA16 35K;
TPOSM - Sticker - 40x40 cm - Sticker Chromo - MLA16 35K;
GT SRC - Backwall SRC Elevate (H) - 27.7x97.7 cm - Duratrans - MLA16 35K;
GT SRC - Waterfall Backwall SRC Elevate (H) - 27.7x47.6 cm - Duratrans - MLA16 35K;
WS Mitra Sampoerna - Header Backwall (H) - 48x47.5 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Header Backwall (H) - 48x97.5 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Header Backwall (H) - 44.5x320 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Header Backwall (H) - 44.5x290 cm - Photopaper - MLA16 35K;
WS Mitra Sampoerna - Shop Sign Mitra Sampoerna (H) - 90x140 cm - Vinyl FF Frontlight - MLA16 35K;
GT SRC - Backwall Expose (H) - 45x100 cm - Duratrans - MLA16 35K;
WS Stand Alone - Shop Sign Non Pole (H) - 100x600 cm - Sticker Blockout - MLA16 35K;
GT SRC - Shop Sign SRC Elevate (H) - 94x164 cm - Vinyl FF Backlite - MLA16 35K;
WS Stand Alone - Shop Sign Non Pole (H) - 100x400 cm - Sticker Blockout - MLA16 35K;
